"Dates","EUNW GY Equity","IS3N GY Equity","ICGA GY Equity","QDV5 GY Equity","CEBJ GR Equity","XMTW GY Equity","H4ZT GY Equity","XCS3 GT Equity","XCS4 GY Equity","IUSS GY Equity","IUS7 GY Equity","IUSP GY Equity","IBCA GY Equity","IBCM GY Equity","IUSM GY Equity","IBCI GY Equity","EUN5 GY Equity","XPQP GY Equity","XMBR GY Equity","D5BI GY Equity","XMLA GT Equity","IBC4 GY Equity","LTUR GY Equity","LYXGRE GY Equity","IBCJ GY Equity"
2006-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.13,NA,NA,159.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-12-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.15,NA,NA,160.16,NA,NA,NA,NA,NA,NA,32.11,NA,NA
2006-12-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.24,NA,NA,160.35,NA,NA,NA,NA,NA,NA,31.15,NA,NA
2006-12-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-12-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.23,NA,NA,159.21,NA,NA,NA,NA,NA,NA,31.91,NA,NA
2006-12-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.19,NA,NA
2006-12-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.42,NA,NA
2006-12-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.13,NA,NA,158.84,NA,NA,NA,NA,NA,NA,33.55,NA,NA
2006-12-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.04,NA,NA,159.2,NA,NA,NA,NA,NA,NA,33.35,NA,NA
2006-12-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.09,NA,NA,159,NA,NA,NA,NA,NA,NA,33.82,NA,NA
2006-12-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.04,NA,NA,159.07,NA,NA,NA,NA,NA,NA,34.84,NA,NA
2006-12-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.51,NA,NA
2006-12-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.06,NA,NA,157.97,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-12-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.09,NA,NA,157.84,NA,NA,NA,NA,NA,NA,33.49,NA,NA
2006-12-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.79,NA,NA
2006-12-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.84,NA,NA
2006-12-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.07,NA,NA,157.6,NA,NA,NA,NA,NA,NA,33.63,NA,NA
2006-12-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.55,NA,NA,NA,NA,NA,NA,34.41,NA,NA
2006-12-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.09,NA,NA,157.44,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.11,NA,NA,157.43,NA,NA,NA,NA,NA,NA,34.02,NA,NA
2007-01-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.78,NA,NA,NA,NA,NA,NA,34.35,NA,NA
2007-01-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.19,NA,NA,157.44,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.16,NA,NA,156.9,NA,NA,NA,NA,NA,NA,33.7,NA,NA
2007-01-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.13,NA,NA,156.73,NA,NA,NA,NA,NA,NA,32.86,NA,NA
2007-01-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.07,NA,NA
2007-01-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.13,NA,NA,156.21,NA,NA,NA,NA,NA,NA,32.14,NA,NA
2007-01-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.93,NA,NA
2007-01-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.86,NA,NA
2007-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.9,NA,NA
2007-01-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.18,NA,NA,155.8,NA,NA,NA,NA,NA,NA,35.37,NA,NA
2007-01-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156.05,NA,NA,NA,NA,NA,NA,36.22,NA,NA
2007-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.17,NA,NA,156.4,NA,NA,NA,NA,NA,NA,37.1,NA,NA
2007-01-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.81,NA,NA
2007-01-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.7,NA,NA
2007-01-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.18,NA,NA,156.42,NA,NA,NA,NA,NA,NA,37.43,NA,NA
