"Dates","EUNW GY Equity","IUSS GY Equity","IUS7 GY Equity","IUSP GY Equity","IBCA GY Equity","IBCM GY Equity","IUSM GY Equity","IBCI GY Equity","EUN5 GY Equity","IS3N GY Equity","ICGA GY Equity","QDV5 GY Equity","CEBJ GR Equity","XMTW GY Equity","H4ZT GY Equity","XCS3 GT Equity","XCS4 GY Equity","XPQP GY Equity","XMBR GY Equity","D5BI GY Equity","XMLA GT Equity","IBC4 GY Equity","LTUR GY Equity","LYXGRE GY Equity","IBCJ GY Equity"
2020-04-27,93.294,3.3135,89.75,47.605,143.075,220.3,206.85,206.85,129.695,22.328,4.971,3.763,117.92,28.205,49.635,8.888,18.47,1.2234,25.54,2.533,24.8,19.794,22.89,0.6929,12.068
2020-04-28,93.068,3.3415,89.478,47.827,143.225,222.63,207.3,206.76,129.445,22.59,5.005,3.79,117,28.32,49.515,8.879,18.554,1.2688,27.045,2.6135,26.01,19.94,22.855,0.7045,11.976
2020-04-29,93.368,3.3855,91.266,48.496,143.24,222.73,207.43,207.4,129.64,22.946,5.028,3.8795,118.5,28.75,51.09,8.963,18.66,1.2796,28.105,2.793,27.345,20.59,23.05,0.7232,12.446
2020-04-30,92.708,3.387,90.962,48.321,143.415,224.25,205.6,209.5,130.19,22.648,4.9695,3.882,117,28.66,52.77,8.934,18.558,1.2538,27.58,2.717,26.685,20.1,22.635,0.698,12.334
2020-05-04,91.526,3.1905,90.6,47.897,143.43,223.75,205.7,208.28,129.56,21.819,4.739,3.747,115,28.225,50.88,8.852,17.83,1.219,25.72,2.6615,25.315,19.452,21.905,0.6739,11.978
2020-05-05,91.944,3.262,92.352,48.689,143.18,223.43,207,207.99,129.69,22.356,4.862,3.7695,115.18,28.685,51.82,9.047,18.532,1.2782,26.845,2.7985,26.43,20.075,21.88,0.6832,12.106
2020-05-06,91.782,3.2295,92.762,48.396,143.235,222,207,206.6,129.005,22.258,4.9105,3.6915,115,28.595,51.07,8.87,18.544,1.2604,25.675,2.7325,25.595,19.766,21.505,0.6717,11.774
2020-05-07,92.09,3.2365,93.302,48.62,143.18,222.8,208.08,206.85,129.3,22.402,4.9275,3.758,116.4,28.915,51.8,8.887,18.356,1.2808,25.15,2.7755,25.47,20.11,21.66,0.6773,11.922
2020-05-08,92.952,3.2585,94.2,48.997,143.43,223.12,207.1,206.8,129.49,22.768,5.024,3.811,119.2,29.08,52.76,9.037,18.754,1.2858,25.865,2.869,26.115,20.655,21.5,0.6758,12.108
2020-05-11,92.678,3.2345,93.834,48.966,143.26,222.62,206.8,206.3,129.125,22.723,5.056,3.7785,117.74,29.16,52.78,8.992,18.904,1.2798,25.655,2.839,25.825,20.4,21.735,0.6646,11.938
2020-05-12,92.736,3.289,94.318,48.96,143.2,222.68,205.9,206.05,129.185,22.856,5.069,3.93,118.6,29.015,52.24,9,19.322,1.2948,25.635,2.853,25.92,20.53,22.2,0.6602,12.198
2020-05-13,92.188,3.2895,93.238,48.71,143.32,223.35,207.7,206.93,128.715,22.623,5.046,3.814,117.84,28.9,51.41,9.056,18.936,1.2654,24.4,2.7545,24.78,20.365,22.245,0.6473,12.048
2020-05-14,91.484,3.309,93.102,48.788,143.34,223.05,206.95,206.34,128.515,22.358,4.9865,3.7625,115.66,28.61,50.22,8.986,18.84,1.2616,24.205,2.72,24.52,19.932,22.275,0.655,11.822
2020-05-15,91.022,3.2785,93.666,48.944,143.23,222.85,206.27,206.08,128.615,22.255,4.9565,3.7115,114.86,28.32,49.455,8.952,18.508,1.2306,24.935,2.711,25.025,19.966,22.4,0.6537,11.776
2020-05-18,92.694,3.482,94.746,49.34,143.34,222.98,204.15,206.56,128.945,22.935,5.132,3.712,118,28.87,51.21,9.159,19.218,1.2374,25.965,2.824,25.975,20.645,23.035,0.6763,12.322
2020-05-19,92.606,3.478,94.918,49.346,143.39,223.48,203.15,207.8,128.705,22.973,5.152,3.65,118,28.65,51.23,9.161,19.304,1.2466,26.39,2.779,26.13,20.97,23.42,0.6688,12.368
2020-05-20,93.094,3.4475,95.384,49.627,143.45,223.63,202,208.26,129.265,23.065,5.162,3.718,119,28.65,51.43,9.167,19.3,1.2434,26.385,2.7375,26.045,21.17,23.15,0.6807,12.476
2020-05-21,92.786,3.442,96.122,50.144,143.385,224.05,203.24,208.41,129.42,22.729,4.991,3.706,118.46,28.535,50.83,9.258,19.05,1.2234,27.105,2.7865,26.59,21.365,23.26,0.6595,12.362
2020-05-22,93.04,3.4665,96.12,50.176,143.375,224.01,204.35,208.37,129.36,22.47,4.881,3.709,118,28.255,50.24,9.217,18.98,1.23,27.16,2.803,26.665,21.07,23.45,0.6613,12.346
2020-05-25,93.688,3.498,96.786,50.542,143.375,224.13,204.48,208.59,129.71,22.82,4.946,3.73,118,28.58,50.83,9.345,19.242,1.24,28.835,2.871,27.845,20.795,23.775,0.6868,12.506
2020-05-26,94.072,3.5125,96.108,50.788,143.405,223.67,202.35,208.74,129.55,22.941,4.9565,3.6995,118,28.685,52.6,9.346,19.406,1.2108,29.245,2.9065,28.155,21.3,24.11,0.7047,13.266
2020-05-27,95.038,3.4735,95.98,50.584,143.39,224.05,202.83,208.86,130.01,22.747,4.8655,3.699,118,28.56,51.97,9.21,19.286,1.2064,29.835,2.9215,28.495,21.08,23.87,0.7307,13.218
2020-05-28,95.664,3.461,95.362,50.534,143.525,224.95,201.34,210.04,130.265,22.721,4.836,3.79,118,28.385,53.41,9.265,19.248,1.2302,29.665,2.92,28.385,21.145,23.645,0.7378,13.23
2020-05-29,95.52,3.431,94.228,50.172,143.43,224.53,200.4,210.7,130.325,22.453,4.7985,3.7955,120.3,28,54.34,9.24,19.136,1.2562,28.51,2.8105,27.39,20.2,23.54,0.7238,13.236
2020-06-02,96.88,3.5795,95.608,51.102,143.555,224.41,199.42,210.95,131.065,23.599,5.044,3.975,125,28.72,58.54,9.7,20.005,1.34,30.94,3.0555,29.595,21.56,24.41,0.7443,13.48
2020-06-03,97.52,3.5565,96.242,51.45,143.485,223.49,196.92,210.3,131.37,24.127,5.114,3.9845,127.6,29.27,61.38,9.987,20.515,1.3952,32.945,3.1005,31.05,22.51,24.63,0.7604,13.67
2020-06-04,98.094,3.446,95.144,50.684,143.565,224.19,194.91,211.37,131.98,23.661,5.033,3.9205,126.6,28.88,58.65,9.808,20.18,1.3962,32.27,3.022,30.405,21.995,24.435,0.7404,13.63
2020-06-05,99.2,3.565,95.73,51.046,143.55,223.68,193.5,211.3,132.865,24.377,5.136,4.0065,135.9,29.83,60.31,9.987,20.97,1.4402,34.49,3.1665,32.335,22.825,24.61,0.7666,14.258
2020-06-08,99.214,3.522,96.518,51.042,143.525,224.33,194.385,211.8,132.51,24.198,5.063,3.969,131.2,29.67,61.51,9.946,20.795,1.4328,34.715,3.1455,32.5,22.735,24.42,0.7665,14.186
2020-06-09,98.184,3.5025,95.324,50.608,143.48,223.73,193.99,211.53,131.9,24.038,5.041,3.9125,131.24,29.565,59.88,9.945,20.28,1.4248,34.825,3.1255,32.395,22.855,24.05,0.7575,14.056
2020-06-10,97.988,3.4985,95.332,50.674,143.48,223.38,194.95,211.12,131.78,24.141,5.098,3.9155,131.2,30.065,57.82,9.963,20.545,1.3978,34.19,3.0495,31.845,22.42,24.095,0.741,14.044
2020-06-11,96.498,3.442,94.11,49.96,143.53,224.65,195.58,211.42,131.36,23.412,4.995,3.736,130,29.23,55.81,9.723,20.03,1.366,31.475,2.8645,29.57,21.59,23.625,0.7098,13.688
2020-06-12,96.8,3.433,95.04,50.41,143.595,225.29,197.7,211.59,131.85,23.681,5.054,3.864,128.74,29.555,56.83,9.765,19.972,1.3708,32.3,2.918,30.16,22.2,24.125,0.7089,13.658
2020-06-15,97.092,3.446,94.406,49.971,143.69,225.48,197.54,211.7,131.84,23.263,5.02,3.8425,122.26,29.125,55.96,9.489,19.408,1.3392,30.8,2.9005,29.19,21.315,23.81,0.7252,13.314
2020-06-16,98.13,3.491,95.786,50.364,143.665,225.57,196.86,212.55,132.08,23.77,5.122,3.859,125.05,29.53,58.77,9.576,19.674,1.3548,32.285,2.979,30.455,21.57,24.15,0.7509,13.744
2020-06-17,98.154,3.5155,95.826,50.194,143.685,225.34,197.86,212.24,132.115,23.999,5.177,3.8935,127.14,29.9,58.81,9.675,19.99,1.3712,32.09,2.974,30.245,22.155,24.11,0.7474,13.518
2020-06-18,97.73,3.524,96.134,49.975,143.64,225.85,198.36,213.14,131.625,24.062,5.207,3.913,122.44,30,58.1,9.568,19.838,1.3776,32.04,2.9135,29.995,21.745,24.57,0.7399,13.606
